idManifestacion	place	entity	date	lugarPublicacionOriginal
233829	Manuscrito  del Archivo del Monasterio de Santo Domingo de Silos			Manuscrito 93 del Archivo del Monasterio de Santo Domingo de Silos
234012	Santander			Santander
234013	Santander			Santander
234014	Santander			Santander
234051	Manuscrito  del Archivo del Monasterio de Santo Domingo de Silos			Manuscrito 93 del Archivo del Monasterio de Santo Domingo de Silos
234057	Granada 			Granada : [s.n.], [s.a.] (Imp. Francisco Gómez Espinosa de los Monteros).  
235406	núm. extraordinario			núm. extraordinario: El Quijote y la educación
235600	Ed. especial financiada por FEDESIBA	PRODER II		Ed. especial financiada por FEDESIBA, PRODER II. 
235779	Murcia	Consejería de Educación y Cultura		Murcia, Consejería de Educación y Cultura, Ligia Comunicación y Tecnología, SL, 200-?
235906	Barcelona	18--? Por Juan Francisco Piferrer Impresor de S. M.		Barcelona, [s.n.], [18--?] (Por Juan Francisco Piferrer Impresor de S. M., véndese en su librería administrada por Juan Sellent).
236245	Madrid	CSIC		Madrid, CSIC
236423	Cuba	Instituto de Literatura y Lingüística de Ciencias de Cuba		Cuba, Instituto de Literatura y Lingüística de Ciencias de Cuba.
237012	Bilbao	"Administración de ""El Mensajero del C. de Jesús"""		"Bilbao, Administración de ""El Mensajero del C. de Jesús"", [191?]."
237013	París	Louis-Michaud		París, Louis-Michaud, [s.a.]
237015	París	Louis-Michaud		París, Louis-Michaud, [s.a]
237124	Cádiz	en la Imprenta de Marina		Cádiz,en la Imprenta de Marina, [17-?]
237126	Barcelona	por Juan Francisco Piferrer		Barcelona, por Juan Francisco Piferrer,  [s.a.].
237208	Salamanca	Imprenta de D. Francisco de Tóxar		Salamanca, Imprenta de D. Francisco de Tóxar, [s.a.].
237209	Barcelona	Carlos Gibert y Tutó		Barcelona, Carlos Gibert y Tutó, [s.a.].
237215	Barcelona	Carlos Gibert y Tutó		Barcelona, Carlos Gibert y Tutó, [s.a.].
237216	Barcelona	Carlos Gibert y Tutó		Barcelona, Carlos Gibert y Tutó, [s.a.].
237238	Cádiz	Manuel Jiménez Carreño		Cádiz, Manuel Jiménez Carreño, [s.a.]
237322	Madrid	Isidro López		Madrid, Isidro López, [s.a.]
237454	Madrid	en la Librería del Cerro		[Madrid], en la Librería del Cerro, [s.a].
237463	Madrid	Imprenta de Barbón		Madrid, Imprenta de Barbón, [s.a.].
237518	Madrid	Editorial América		Madrid, Editorial América, [s.a.]
237566	Salamanca	Oficina de D. Francisco de Tóxar		Salamanca, Oficina de D. Francisco de Tóxar, [s.a.].
237613	Barcelona	Ramón Sopena		Barcelona, Ramón Sopena, [s.a].
237614	Madrid	V.H. de Sanz Calleja		Madrid, V.H. de Sanz Calleja, [s.a].
237631	Madrid	Biblioteca Hispania		Madrid, Biblioteca Hispania, [s.a].
237632	Madrid	Imprenta de Álvarez		Madrid, Imprenta de Álvarez, [s.a].
237636	Madrid	"Imprenta de ""Alrededor del mundo"""		"Madrid, Imprenta de ""Alrededor del mundo"", [s.a.]."
237664	Madrid	Biblioteca Nueva		Madrid, Biblioteca Nueva, [s.a.]
237996	Santiago de Chile	Dibam		Santiago de Chile, Dibam, [s.a.], nº 031.
238008	Santiago de Chile	Andrés Bello		[Santiago de Chile], Andrés Bello, [s.a].
238112	Santiago de Chile			Santiago de Chile .
238151	Bilbao	"Administración de ""El Mensajero del C. de Jesús"""		"Bilbao, Administración de ""El Mensajero del C. de Jesús"", [s.a.]."
238169	Buenos Aires	Editorial Ricardo Güiraldes		Buenos Aires, Editorial Ricardo Güiraldes, [s.a.].
238170	Buenos Aires	Editorial Ricardo Güiraldes		Buenos Aires, Editorial Ricardo Güiraldes, [s.a.].
238171	Buenos Aires	Editorial Ricardo Güiraldes		Buenos Aires, Editorial Ricardo Güiraldes, [s.a.].
238172	Buenos Aires	Editorial Ricardo Güiraldes		Buenos Aires, Editorial Ricardo Güiraldes, [s.a.].
238173	Buenos Aires	Editorial Ricardo Güiraldes		Buenos Aires, Editorial Ricardo Güiraldes, [s.a.].
238202	Burgos	Hijos de Santiago Rodríguez		Burgos, Hijos de Santiago Rodríguez, [s.a.].
238205	Madrid	S. Calleja		[Madrid, S. Calleja, s.a.].
238220	Buenos Aires			Buenos Aires.
238221	Buenos Aires			Buenos Aires.
238222	Buenos Aires			Buenos Aires.
238223	Buenos Aires			Buenos Aires.
238225	Buenos Aires			Buenos Aires.
238226	Buenos Aires			Buenos Aires.
238413	Asunción	El Lector		Asunción, El Lector, [s.a.].
238531	Asunción Paraguay	Arandura		Asunción (Paraguay), Arandura, [s.a.].
238639	Buenos Aires	Emece		Buenos Aires, Emece, [s.a.].
238665	Santiago de Chile			Santiago de Chile.
239017	Madrid	Por Bernardo de Hervada. A costa de Antonio de la Fuente		Madrid, Por Bernardo de Hervada. A costa de Antonio de la Fuente, 167.
239132	Manuscrito  del Archivo del Monasterio de Santo Domingo de Silos			Manuscrito 93 del Archivo del Monasterio de Santo Domingo de Silos
239196	A Coruña	Edicios do Castro ; Sada		A Coruña, Edicios do Castro ; Sada
239200	S.l.	s.a		[S.l., s.n., s.a.].
239321	Madrid	Centro de Investigación de Semiótica Literaria		Madrid, Centro de Investigación de Semiótica Literaria, Teatral y Nuevas Tecnologías. Departamentos de Literatura Española y Teoría de la Literatura y Filología Francesa ; Universidad Nacional de Educación a Distancia.
239372	Asunción Paraguay	s.a		Asunción (Paraguay), [s.n.], [s.a.].
239389	Madrid	Tecnosaga		Madrid, Tecnosaga, [s.a.]
239390	Madrid	Tecnosaga		Madrid, Tecnosaga, [s.a.]
239426	Asunción Paraguay	RP Ediciones		Asunción (Paraguay), RP Ediciones, [s.a.].
239589	Azpeitia	Archivo Histórico de Loyola. Manuscritos-Jesuitas		Azpeitia,  Archivo Histórico de Loyola. Manuscritos-Jesuitas
239602	Asunción Paraguay	Editorial Don Bosco		Asunción (Paraguay), Editorial Don Bosco, [s.a.].
239620	Madrid	Compañía Teatro de la Danza de Madrid en coproducción con Barbotegi y La llave maestra		[Madrid], Compañía Teatro de la Danza de Madrid en coproducción con Barbotegi y La llave maestra, [s.a.].
239664	Asunción Paraguay	Servilibro		Asunción (Paraguay), Servilibro, [s.a.].
239910	Asunción Paraguay	Arandura Editorial		Asunción (Paraguay), Arandura Editorial, [s.a.]
239944	Buenos Aires	Alfer and Vays		Buenos Aires, Alfer and Vays, [s.a.].
240018	Logroño			Logroño
240351	Maracaibo	Est. Calle del Comercio		Maracaibo, Est. Calle del Comercio.  
240354	Caracas	Playco Editores		Caracas, Playco Editores, [s.a.].
240682	Asunción Paraguay	Editorial Don Bosco		[Asunción (Paraguay)], Editorial Don Bosco, [s.a.].
240779	Madrid	Editorial Pueyo		Madrid, Editorial Pueyo, [s.a.]
240970	Madrid	Magisterio Español		Madrid, Magisterio Español, D.L.
241051	Valencia	Prometeo		Valencia, Prometeo, [s.a.]
241083	Murcia	Alga Editores		Murcia, Alga Editores. 
241270	Portland	Oregon		Portland, Oregon, USA
241728	Asunción Paraguay	Editorial Don Bosco		[Asunción (Paraguay)], Editorial Don Bosco, [s.a.]
242489	S.l.	15--?		[S.l., s.n., 15--?].
245189	Barcelona	Minerva		Barcelona, Minerva, [s. a.]
245261	Paris	Librairie des halles et marches		Paris, Librairie des halles et marches
248396	Alacant	Université Paris 8		Alacant, Université Paris 8, Universitat d'Alacant, Grup d'Estudis transversals: literatura i altres arts en les cultures mediterrànies; Paris: Universite de Paris 8, Vincenne-Saint-Denis
248397	Alacant	Université Paris 8		Alacant, Université Paris 8, Universitat d'Alacant, Grup d'Estudis transversals: literatura i altres arts en les cultures mediterrànies; Paris: Universite de Paris 8, Vincenne-Saint-Denis
248398	Alacant	Université Paris 8		Alacant, Université Paris 8, Universitat d'Alacant, Grup d'Estudis transversals: literatura i altres arts en les cultures mediterrànies; Paris: Universite de Paris 8, Vincenne-Saint-Denis
248399	Alacant	Université Paris 8		Alacant, Université Paris 8, Universitat d'Alacant, Grup d'Estudis transversals: literatura i altres arts en les cultures mediterrànies; Paris: Universite de Paris 8, Vincenne-Saint-Denis
248400	Alacant	Université Paris 8		Alacant, Université Paris 8, Universitat d'Alacant, Grup d'Estudis transversals: literatura i altres arts en les cultures mediterrànies; Paris: Universite de Paris 8, Vincenne-Saint-Denis
248401	Alacant	Université Paris 8		Alacant, Université Paris 8, Universitat d'Alacant, Grup d'Estudis transversals: literatura i altres arts en les cultures mediterrànies; Paris: Universite de Paris 8, Vincenne-Saint-Denis
248402	Alacant	Université Paris 8		Alacant, Université Paris 8, Universitat d'Alacant, Grup d'Estudis transversals: literatura i altres arts en les cultures mediterrànies; Paris: Universite de Paris 8, Vincenne-Saint-Denis
248403	Alacant	Université Paris 8		Alacant, Université Paris 8, Universitat d'Alacant, Grup d'Estudis transversals: literatura i altres arts en les cultures mediterrànies; Paris: Universite de Paris 8, Vincenne-Saint-Denis
248404	Alacant	Université Paris 8		Alacant, Université Paris 8, Universitat d'Alacant, Grup d'Estudis transversals: literatura i altres arts en les cultures mediterrànies; Paris: Universite de Paris 8, Vincenne-Saint-Denis
